5	10	10	10	10	10	10	10	20	35	110
5	10	10	9	10	10	10	13	20.25	34.5	105
5	10	10	9	9	0	0	0	4.75	25.5	26
5	0	9	0	0	0	0	0	1.125	20	0
3	10	9	0	7	0	0	0	3.25	9.5	6
5	10	9	9	10	10	8	9	17.125	25.5	56.5
5	9	10	0	10	9	10	7	6.875	33	88.5
5	9	8	9	10	9	10	11	18.375	28	77
5	9	9	8	5	10	10	4	10.25	25	42
5	9	6	7	10	8	5	8	11.125	33.5	77
1	0	0	0	0	0	0	0	0	0	0
5	10	7	9	5	10	10	10	7.625	31.5	85
3	10	8	3	4	3	0	2	3.75	7	10
5	10	10	9	10	10	10	8	19.625	31	92
5	8	6	4	8	4	0	6	7.875	20	34
5	10	10	9	0	8	0	9	5.75	22	62
4	10	10	8	0	0	0	0	3.5	27.5	50
5	10	8	9	10	8	9	0	6.75	31	77
5	9	9	6	2	4	9	8	14.875	18	43
3	2	0	0	0	0	0	0	0.25	12.5	0
5	10	9	9	9	8	0	5	10.75	24	56.5
5	10	10	9	9	11	10	12	19	33.5	101
5	10	10	8	9	5	9	8	11.875	27.5	72
5	10	10	8	10	11	10	10	19.875	33.5	106
5	10	9	10	10	10	10	10	19.875	34.5	91
5	10	10	9	10	10	8	6	18	29	99
5	10	9	10	10	11	10	12	19.125	35	109
5	10	9	10	5	3	10	12	7.375	24.5	89
5	10	10	10	10	9	7	6	7.75	31	90
5	9	6	9	9	10	6	10	17.5	21	45
5	10	8	10	10	10	6	7	11	22	73
5	10	8	9	10	10	10	13	20	33	95
5	10	8	7	10	0	7	7	17.375	28.5	87
5	10	9	8	8	10	0	5	6.25	28.5	64
1	10	0	0	0	0	0	0	1.25	6.5	0
5	10	9	9	10	9	10	10	19.625	33.5	85.5
4	10	8	10	10	9	0	0	5.875	32	37
5	10	9	7	10	9	10	12	19.625	31	78
5	8	6	0	0	7	0	0	11.625	16	30
5	8	9	7	10	0	0	0	4.25	22.5	15
0	0	0	0	0	0	0	0	0	0	0
5	1	9	9	6	7	0	7	13.875	0	17
5	10	10	9	10	10	9	9	19.625	33	103
2	8	7	7	0	0	0	0	2.75	11	4
5	9	8	9	0	0	3	0	8.125	12.5	10
5	10	8	9	10	9	6	9	18.875	12	62
0	9	9	0	0	0	0	0	2.25	15.5	10
5	9	7	0	10	0	0	6	4	25	63
3	10	9	9	10	7	10	7	7.75	32	76
5	9	8	8	9	7	4	0	5.625	23.5	21
5	8	8	6	4	3	4	4	8	16.5	38
5	10	10	8	10	7	10	7	17.875	29.5	98
0	0	0	0	0	0	0	0	0	0	0
5	10	10	10	9	8	10	12	19.875	34	93
10	10	0	0	10	0	6	0	3.25	27	83.5
0	0	0	0	0	0	0	0	0	26.5	0
5	10	9	9	7	7	6	6	6.75	26	33
5	9	7	8	8	9	4	7	6.5	27	77
5	10	7	8	6	10	10	8	7.375	24.5	72.5
5	10	10	8	10	11	10	12	20.125	32.5	101
5	9	8	10	8	10	10	7	19	34	102
5	10	10	9	9	8	8	7	17.75	32.5	87
5	8	9	9	10	4	10	5	13.625	33	77
5	10	10	9	10	3	6	10	7.25	28.5	82
5	10	9	9	10	9	10	10	19.625	32.5	93
5	0	9	8	10	8	10	9	16.875	28.5	91
5	9	7	9	10	10	10	12	19.625	32	87
5	10	9	8	10	10	10	12	19.875	33.5	108
0	0	0	0	0	0	0	0	0	0	0
5	10	8	0	9	9	9	0	16.875	31	61
5	7	8	7	9	6	0	0	14.75	16.5	53
5	9	10	8	8	10	10	11	19.5	28	90
4	10	9	0	10	0	5	0	4.25	29	11
2	0	0	0	0	0	0	0	0	0	0
5	10	10	9	10	10	10	9	8.5	24	61
5	10	10	8	10	4	0	8	9.625	11.5	18
2	9	6	8	10	8	9	9	13	25	61
5	9	7	9	10	8	8	9	17.625	33	89.5
3	10	7	8	9	0	0	0	4.25	32	0
0	0	0	0	0	0	0	0	0	0	0
5	10	9	9	10	7	8	7	7.5	28	39
5	10	9	9	10	10	9	9	19.5	18.5	65
4	10	10	9	10	10	9	9	17.375	25.5	91
0	0	0	0	0	0	0	0	0	0	0
5	9	8	4	5	8	10	6	9.625	13	30
5	10	9	10	10	10	10	10	19.875	33.5	88
1	0	0	0	0	0	0	0	0	0	0
5	7	8	8	10	10	10	10	19.125	30.5	89
1	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
5	10	9	9	10	10	10	10	18.625	31	106
4	10	9	10	10	9	10	8	8.25	34.5	71
5	10	10	10	10	11	10	12	20.375	34.5	103
0	0	0	0	0	0	0	0	0	0	0
5	10	10	8	10	9	10	7	19.25	32	99
1	0	0	0	0	0	0	0	0	0	0
5	10	9	8	10	10	0	0	5.875	33.5	75
5	9	8	10	10	3	0	6	5.75	34.5	62
2	5	6	5	0	0	0	4	2.5	19	28
2	10	7	0	0	0	0	0	2.125	0	0
3	9	10	8	8	3	0	0	4.75	24.5	0
4	9	10	7	9	7	8	7	7.125	25.5	67.5
5	8	8	8	10	8	7	3	6.5	12.5	24
4	10	9	9	10	10	10	8	18.375	32.5	83
5	10	7	8	9	1	5	0	5	13	43.5
5	9	9	9	10	8	10	12	19.625	33.5	81
0	0	0	0	0	0	0	0	0	0	0
5	10	10	10	10	9	8	10	19.625	28.5	91
5	10	9	9	9	7	0	0	15.625	27.5	57
5	10	9	7	9	0	7	6	16.125	34	72
5	10	10	10	10	10	10	12	19.125	33	0
5	10	8	9	10	7	6	8	17.375	31	76
5	10	10	9	10	8	7	7	7.625	22.5	75
5	10	9	10	10	10	9	9	19.625	20.5	72.5
5	9	9	8	10	9	0	9	6.75	30	78.5
2	0	0	0	0	0	0	0	0	0	0
2	10	8	7	8	9	0	7	6.125	31	0
5	10	10	10	10	0	0	0	5	18	0
5	10	7	9	10	10	10	10	16.125	30.5	85.5
5	10	10	9	10	10	9	12	20	34	96
5	10	10	8	10	9	10	10	18.5	35	91
